Ticker,Name,Market,Panel,Sector,Sub-Sector,Comment,Name(EN),Company Code(12),Ticker(4),Ticker(5),Ticker(12),Sector Code,Sub-Sector Code,Panel Code
داتام,گروه مالی داتام,بورس,بازار دوم بورس,سرمایه گذاریها,سایر واسطه های مالی,-,DATAM Group,IRO1DTAM0008,DTAM,DTAM1,IRO1DTAM0001,56,5699,1
داترا,آترا زیست آرای,بورس,بازار دوم بورس,مواد و محصولات دارویی,تولید داروهای شیمیایی و گیاهی,-,Atra Zist Arai,IRO1DTRA0003,DTRA,DTRA1,IRO1DTRA0001,43,4323,1
دارو,کارخانجات داروپخش,بورس,بازار اول (تابلوی فرعی) بورس,مواد و محصولات دارویی,تولید داروهای شیمیایی و گیاهی,-,Daroupakhsh P.,IRO1DPAK0004,DPAK,DPAK1,IRO1DPAK0001,43,4323,3
داسوه,داروسازی  اسوه,بورس,بازار دوم بورس,مواد و محصولات دارویی,تولید داروهای شیمیایی و گیاهی,-,Osvah Pharm.,IRO1DOSE0003,DOSE,DOSE1,IRO1DOSE0001,43,4323,3
دالبر,البرزدارو,بورس,بازار اول (تابلوی فرعی) بورس,مواد و محصولات دارویی,تولید داروهای شیمیایی و گیاهی,-,Alborz Darou,IRO1DALZ0001,DALZ,DALZ1,IRO1DALZ0001,43,4323,3
دامین,داروسازی  امین,بورس,بازار اول (تابلوی فرعی) بورس,مواد و محصولات دارویی,تولید داروهای شیمیایی و گیاهی,-,Amin Pharm.,IRO1AMIN0009,AMIN,AMIN1,IRO1AMIN0001,43,4323,3
دانا,بیمه دانا,بورس,بازار اول (تابلوی فرعی) بورس,بیمه وصندوق بازنشستگی به جزتامین اجتماعی,بیمه غیرزندگی,-,Dana Insurance,IRO1BDAN0007,BDAN,BDAN1,IRO1BDAN0001,66,6603,3
دپارس,پارس  دارو,بورس,بازار اول (تابلوی فرعی) بورس,مواد و محصولات دارویی,تولید داروهای شیمیایی و گیاهی,-,Pars Darou,IRO1PDRO0001,PDRO,PDRO1,IRO1PDRO0001,43,4323,3
دتماد,تولیدمواداولیه داروپخش,بورس,بازار اول (تابلوی فرعی) بورس,مواد و محصولات دارویی,تولید داروهای شیمیایی و گیاهی,-,Daroupakhash I.,IRO1TMVD0003,TMVD,TMVD1,IRO1TMVD0001,43,4323,3
دجابر,داروسازی  جابرابن حیان,بورس,بازار دوم بورس,مواد و محصولات دارویی,تولید داروهای شیمیایی و گیاهی,-,Jaber Hayan P.,IRO1DJBR0004,DJBR,DJBR1,IRO1DJBR0001,43,4323,3
ددام,داروسازی زاگرس فارمد پارس,بورس,بازار دوم بورس,مواد و محصولات دارویی,تولید داروهای شیمیایی و گیاهی,-,Damloran Pharm.,IRO1DAML0006,DAML,DAML1,IRO1DAML0001,43,4323,1
درازک,دارویی  رازک,بورس,بازار اول (تابلوی فرعی) بورس,مواد و محصولات دارویی,تولید داروهای شیمیایی و گیاهی,-,Razak Lab.,IRO1DRZK0003,DRZK,DRZK1,IRO1DRZK0001,43,4323,3
