Ticker,Name,Market,Panel,Sector,Sub-Sector,Comment,Name(EN),Company Code(12),Ticker(4),Ticker(5),Ticker(12),Sector Code,Sub-Sector Code,Panel Code
کساپا,سایپاشیشه,بورس,بازار دوم بورس,سایر محصولات کانی غیرفلزی,تولید شیشه,-,Saipa Glass,IRO1SISH0001,SISH,SISH1,IRO1SISH0001,54,5410,3
کساوه,صنایع  کاشی  و سرامیک  سینا,بورس,بازار اول (تابلوی فرعی) بورس,کاشی و سرامیک,تولید گل و سرامیک ساختمانی,-,Sina Tile,IRO1SINA0003,SINA,SINA1,IRO1SINA0001,49,4993,3
کسرا,سرامیک های صنعتی اردکان,بورس,بازار اول (تابلوی اصلی) بورس,سایر محصولات کانی غیرفلزی,تولید سرامیک غیرساختمانی,-,Ardekan Ceramic,IRO1ARDK0002,ARDK,ARDK1,IRO1ARDK0001,54,5491,1
کسرام,پارس  سرام,بورس,بازار دوم بورس,سایر محصولات کانی غیرفلزی,تولید سرامیک غیرساختمانی,-,Pars Ceram,IRO1PSER0006,PSER,PSER1,IRO1PSER0001,54,5491,1
کسعدی,کاشی  سعدی,بورس,بازار دوم بورس,کاشی و سرامیک,تولید گل و سرامیک ساختمانی,-,Saadi Tile,IRO1KSAD0001,KSAD,KSAD1,IRO1KSAD0001,49,4993,1
کطبس,ذغال سنگ  نگین  ط بس,بورس,بازار دوم بورس,استخراج زغال سنگ,استخراج و انبار زغال سنگ سخت,-,Negin Tabas L.,IRO1TBAS0004,TBAS,TBAS1,IRO1TBAS0001,10,1010,1
کفپارس,فرآورده های  نسوز پارس,بورس,بازار اول (تابلوی فرعی) بورس,سایر محصولات کانی غیرفلزی,تولید محصولات سرامیکی نسوز,-,Pars Refract.,IRO1NSPS0004,NSPS,NSPS1,IRO1NSPS0001,54,5492,3
کفرا,فراورده  های  نسوزایران,بورس,بازار دوم بورس,سایر محصولات کانی غیرفلزی,تولید محصولات سرامیکی نسوز,-,Iran Refract.,IRO1NASI0003,NASI,NASI1,IRO1NASI0001,54,5492,1
کگاز,شیشه  و گاز,بورس,بازار اول (تابلوی فرعی) بورس,سایر محصولات کانی غیرفلزی,تولید شیشه,-,Glass and Gas,IRO1SGAZ0001,SGAZ,SGAZ1,IRO1SGAZ0001,54,5410,3
کگل,معدنی و صنعتی گل گهر,بورس,بازار اول (تابلوی اصلی) بورس,استخراج کانه های فلزی,استخراج آهن,-,Gol-E-Gohar.,IRO1GOLG0005,GOLG,GOLG1,IRO1GOLG0001,13,1310,1
کلوند,کاشی  الوند,بورس,بازار اول (تابلوی فرعی) بورس,کاشی و سرامیک,تولید گل و سرامیک ساختمانی,-,Alvand Tile,IRO1ALVN0003,ALVN,ALVN1,IRO1ALVN0001,49,4993,3
کماسه,تامین  ماسه  ریخته گری,بورس,بازار اول (تابلوی فرعی) بورس,استخراج سایر معادن,استخراج سنگ، ماسه و خاک رس,-,Sand Foundry,IRO1TAMI0003,TAMI,TAMI1,IRO1TAMI0001,14,1410,3
کمنگنز,معادن منگنزایران,بورس,بازار اول (تابلوی فرعی) بورس,استخراج کانه های فلزی,استخراج کانه فلزی غیرآهن,-,Iran Mn. Mines,IRO1MNGZ0002,MNGZ,MNGZ1,IRO1MNGZ0001,13,1320,3
کنور,توسعه معدنی و صنعتی صبانور,بورس,بازار دوم بورس,استخراج کانه های فلزی,استخراج آهن,-,Saba Noor,IRO1KNRZ0001,KNRZ,KNRZ1,IRO1KNRZ0001,13,1310,1
کهمدا,شیشه  همدان,بورس,بازار اول (تابلوی اصلی) بورس,سایر محصولات کانی غیرفلزی,تولید شیشه,-,Hamadan Glass,IRO1SHMD0002,SHMD,SHMD1,IRO1SHMD0001,54,5410,1
کویر,تولیدی فولاد سپید فراب کویر,بورس,بازار دوم بورس,فلزات اساسی,تولید آهن و فولاد پایه,-,Sepid Farab Kavir,IRO1KVIR0002,KVIR,KVIR1,IRO1KVIR0001,27,2710,1
کیانا,گروه مالی کیان,بورس,بازار دوم بورس,سرمایه گذاریها,سایر واسطه های مالی,-,Kian Capital Mng.,IRO1KYAN0001,KYAN,KYAN1,IRO1KYAN0001,56,5699,1
کیمیا,ص. معدنی کیمیای زنجان گستران,بورس,بازار اول (تابلوی فرعی) بورس,فلزات اساسی,تولید فلزات گرانبهای غیرآهن,-,Kimia Zanjan Co,IRO1KZGZ0000,KZGZ,KZGZ1,IRO1KZGZ0001,27,2720,3
کیمیاتک,آریان کیمیا تک,بورس,بازار دوم بورس,محصولات شیمیایی,تولید شوینده ها، عطر و محصولات آرایشی,-,Arian Chimia Tech,IRO1KTEK0007,KTEK,KTEK1,IRO1KTEK0001,44,4424,1
لابسا,آبسال,بورس,بازار دوم بورس,ماشین آلات و تجهیزات,تولید سایر ماشین آلات عمومی,-,Absal,IRO1ASAL0003,ASAL,ASAL1,IRO1ASAL0001,29,2919,3
لبوتان,گروه صنعتی بوتان,بورس,بازار دوم بورس,ماشین آلات و تجهیزات,تولید وسایل خانگی,-,Butane Group,IRO1BOTA0008,BOTA,BOTA1,IRO1BOTA0001,29,2930,1
لپارس,پارس  الکتریک,بورس,بازار دوم بورس,ساخت دستگاه ها و وسایل ارتباطی,گیرنده رادیو، تلویزیون و تجهیزات وابسته,-,Pars Electric,IRO1PELC0000,PELC,PELC1,IRO1PELC0001,32,3230,1
لخزر,پارس  خزر,بورس,بازار دوم بورس,ماشین آلات و تجهیزات,تولید وسایل خانگی,-,Pars Khazar,IRO1KHAZ0008,KHAZ,KHAZ1,IRO1KHAZ0001,29,2930,3
لسرما,سرما آفرین,بورس,بازار دوم بورس,ماشین آلات و تجهیزات,تولید سایر ماشین آلات عمومی,-,Sarma Afarin,IRO1SRMA0003,SRMA,SRMA1,IRO1SRMA0001,29,2919,1
لوتوس,تامین سرمایه لوتوس پارسیان,بورس,بازار دوم بورس,فعالیتهای کمکی به نهادهای مالی واسط,بجز تامین وجوه بیمه و بازنشستگی,-,Lotos Investment,IRO1LTOS0006,LTOS,LTOS1,IRO1LTOS0001,67,6719,3
ما,بیمه ما,بورس,بازار دوم بورس,بیمه وصندوق بازنشستگی به جزتامین اجتماعی,بیمه غیرزندگی,-,Bime Ma Co.,IRO1BVMA0006,BVMA,BVMA1,IRO1BVMA0001,66,6603,1
مبین,مبین انرژی خلیج فارس,بورس,بازار اول (تابلوی فرعی) بورس,عرضه برق، گاز، بخاروآب گرم,تولید،لنتقال و توزیع برق،گاز،بخاروآب گرم,-,Mobin Petr.,IRO1MOBN0000,MOBN,MOBN1,IRO1MOBN0001,40,4011,3
محتشم,نساجی هدیه البرز مشهد,بورس,بازار دوم بورس,منسوجات,تولید و فروش فرش و قالی,-,Nasaji Gift Alborz,IRO1HDYE0004,HDYE,HDYE1,IRO1HDYE0001,17,1722,1
مداران,داده پردازی ایران,بورس,بازار دوم بورس,رایانه و فعالیت های وابسته به آن,سایر فعالیت های رایانه ای,-,DPI,IRO1DADE0006,DADE,DADE1,IRO1DADE0001,72,7200,1
ملت,بیمه ملت,بورس,بازار اول (تابلوی فرعی) بورس,بیمه وصندوق بازنشستگی به جزتامین اجتماعی,بیمه غیرزندگی,-,Mellat Insur.,IRO1BMEL0004,BMEL,BMEL1,IRO1BMEL0001,66,6603,3
مهرگان,گروه مالی مهرگان تامین پارس,بورس,بازار دوم بورس,سرمایه گذاریها,سایر واسطه های مالی,-,Mehrgan Tamin Pars,IRO1MHRN0001,MHRN,MHRN1,IRO1MHRN0001,56,5699,1
میدکو,توسعه معادن وص.معدنی خاورمیانه,بورس,بازار دوم بورس,فلزات اساسی,تولید آهن و فولاد پایه,-,Khavarmianeh Ins.,IRO1MDKO0001,MDKO,MDKO1,IRO1MDKO0001,27,2710,3
نماد,گروه مالی نماد غدیر,بورس,بازار دوم بورس,سرمایه گذاریها,سایر واسطه های مالی,-,Ghadir Investment,IRO1NMAD0004,NMAD,NMAD1,IRO1NMAD0001,56,5699,1
نمرینو,ایران  مرینوس,بورس,بازار دوم بورس,منسوجات,آماده سازی و ریسندگی نخ، پارچه بافی,-,Iranmerinos,IRO1MRIN0000,MRIN,MRIN1,IRO1MRIN0001,17,1711,3
نوری,پتروشیمی نوری,بورس,بازار دوم بورس,محصولات شیمیایی,تولید مواد شیمیایی پایه به جز کود,-,NORI Petrochemical,IRO1NORI0008,NORI,NORI1,IRO1NORI0001,44,4411,1
های وب,داده گسترعصرنوین-های وب,بورس,بازار اول (تابلوی فرعی) بورس,اطلاعات و ارتباطات,خدمات ارزش افزوده,-,S*HiWeb,IRO1HWEB0008,HWEB,HWEB1,IRO1HWEB0001,73,7310,3
همراه,شرکت ارتباطات سیار ایران,بورس,بازار دوم بورس,مخابرات,مخابرات,-,Iran Mobil Tele,IRO1HMRZ0007,HMRZ,HMRZ1,IRO1HMRZ0001,64,6420,1
وآذر,سرمایه گذاری توسعه آذربایجان,بورس,بازار دوم بورس,انبوه سازی، املاک و مستغلات,سایر فعالیت های املاک و مستغلات,-,Azarbayjan Inv.,IRO1TAZB0005,TAZB,TAZB1,IRO1TAZB0001,70,7099,3
وآفری,بیمه کارآفرین,بورس,بازار دوم بورس,بیمه وصندوق بازنشستگی به جزتامین اجتماعی,بیمه غیرزندگی,-,Karafarin Insur.,IRO1KARP0008,KARP,KARP1,IRO1KARP0001,66,6603,1
واتی,سرمایه  گذاری  آتیه  دماوند,بورس,بازار اول (تابلوی اصلی) بورس,سرمایه گذاریها,سایر واسطه های مالی,-,Atye Damavand,IRO1ATDM0008,ATDM,ATDM1,IRO1ATDM0001,56,5699,1
واعتبار,سرمایه گذاری اعتبار ایران,بورس,بازار اول (تابلوی فرعی) بورس,سرمایه گذاریها,سایر واسطه های مالی,-,Iran Motorcycle,IRO1IDOC0007,IDOC,IDOC1,IRO1IDOC0001,56,5699,3
والبر,سرمایه  گذاری  البرز(هلدینگ,بورس,بازار اول (تابلوی اصلی) بورس,مواد و محصولات دارویی,تولید سایر محصولات دارویی,-,S*Alborz Inv.,IRO1ALBZ0003,ALBZ,ALBZ1,IRO1ALBZ0001,43,4399,1
وامید,گروه مدیریت سرمایه گذاری امید,بورس,بازار دوم بورس,شرکتهای چند رشته ای صنعتی,شرکتهای صنعتی چند رشته ای,-,Omid Inv. Mng.,IRO1OIMC0006,OIMC,OIMC1,IRO1OIMC0001,39,3999,1
