Ticker,Name,Market,Panel,Sector,Sub-Sector,Comment,Name(EN),Company Code(12),Ticker(4),Ticker(5),Ticker(12),Sector Code,Sub-Sector Code,Panel Code
سمتاز,سیمان ممتازان کرمان,فرابورس,بازار دوم فرابورس,سیمان، آهک و گچ,تولید سیمان، آهک و گچ,-,Momtazan Cement,IRO3CMKP0009,CMKP,CMKP1,IRO3CMKP0001,53,5394,3
سمگا,گروه سرمایه گذاری میراث فرهنگی,فرابورس,بازار دوم فرابورس,هتل و رستوران,هتل ها ، اردو و دیگر تدارکات اقامت کوتاه,-,Cultur.Herit. Inv.,IRO3IMFZ0008,IMFZ,IMFZ1,IRO3IMFZ0001,55,5510,3
شاروم,پتروشیمی ارومیه,فرابورس,بازار اول فرابورس,محصولات شیمیایی,تولید کود و ترکیبات نیتروژن,-,UrmiaPetrochemical,IRO3URPZ0005,URPZ,URPZ1,IRO3URPZ0001,44,4412,1
شاوان,پالایش نفت لاوان,فرابورس,بازار دوم فرابورس,فراورده های نفتی، کک و سوخت هسته ای,تولید محصولات پالایش شده پتروشیمی,-,Lavan Oil Ref.,IRO3PNLZ0000,PNLZ,PNLZ1,IRO3PNLZ0001,23,2320,3
شبصیر,تولیدات پتروشیمی قائد بصیر,فرابورس,بازار دوم فرابورس,محصولات شیمیایی,تولید سایر محصولات شیمیایی,-,Ghaed Basir Petro.,IRO3BSRZ0005,BSRZ,BSRZ1,IRO3BSRZ0001,44,4429,3
شپاس,نفت پاسارگاد,فرابورس,بازار دوم فرابورس,فراورده های نفتی، کک و سوخت هسته ای,ساخت فرآورده های نفتی تصفیه شده,-,NPSZ,IRO3NPSZ0003,NPSZ,NPSZ1,IRO3NPSZ0001,23,2308,3
شتوکا,توکا رنگ فولاد سپاهان,فرابورس,بازار دوم فرابورس,محصولات شیمیایی,تولید رنگ، بتونه، جوهر,-,Tuka Paint Co.,IRO3TPSZ0007,TPSZ,TPSZ1,IRO3TPSZ0001,44,4422,3
شجم,صنایع پتروشیمی تخت جمشید,فرابورس,بازار دوم فرابورس,محصولات شیمیایی,تولید مواد شیمیایی پایه به جز کود,-,Takhte Jamshid Pe.,IRO3TJPZ0008,TJPZ,TJPZ1,IRO3TJPZ0001,44,4411,3
شرانل,نفت ایرانول,فرابورس,بازار دوم فرابورس,فراورده های نفتی، کک و سوخت هسته ای,ساخت فرآورده های نفتی تصفیه شده,-,Iranol,IRO3NOLZ0001,NOLZ,NOLZ1,IRO3NOLZ0001,23,2308,3
شرنگی,شیمیایی رنگین,فرابورس,بازار دوم فرابورس,محصولات شیمیایی,تولید رنگ، بتونه، جوهر,-,Rangin,IRO3SHEP0006,SHEP,SHEP1,IRO3SHEP0001,44,4422,3
شصدف,صنعتی دوده فام,فرابورس,بازار اول فرابورس,محصولات شیمیایی,تولید سایر محصولات شیمیایی,-,Sanati Doodeh Fam,IRO3SDFZ0007,SDFZ,SDFZ1,IRO3SDFZ0001,44,4429,1
شفام,تولیدی و صنعتی گوهرفام,فرابورس,بازار دوم فرابورس,محصولات شیمیایی,تولید رنگ، بتونه، جوهر,-,Gohar Fam,IRO3GOFZ0008,GOFZ,GOFZ1,IRO3GOFZ0001,44,4422,3
شکام,صنایع شیمیایی کیمیاگران امروز,فرابورس,بازار دوم فرابورس,محصولات شیمیایی,تولید مواد شیمیایی پایه به جز کود,-,Kimyagaran Chem.,IRO3KICZ0003,KICZ,KICZ1,IRO3KICZ0001,44,4411,3
شگویا,پتروشیمی تندگویان,فرابورس,بازار دوم فرابورس,محصولات شیمیایی,تولید مواد شیمیایی پایه به جز کود,-,Tondgooyan Petro,IRO3TPEZ0003,TPEZ,TPEZ1,IRO3TPEZ0001,44,4411,3
شمس,تولید انرژی برق شمس پاسارگاد,فرابورس,بازار دوم فرابورس,عرضه برق، گاز، بخاروآب گرم,تولید انتقال و توزیع نیروی برق,-,Shams Pasargad,IRO3SMSZ0001,SMSZ,SMSZ1,IRO3SMSZ0001,40,4010,3
