شیوه سرمایه‌گذاری,تاریخ به‌روز رسانی,درجه‌بندی عملکرد فصل,ضامن نقدشوندگی,ضریب بتا,ضریب آلفا,بازده یک ساله,قیمت آماری,قیمت ابطال,قیمت صدور, دوره تقسیم سود ,کل ارزش خالص دارایی‌ها ,نماد,نوع صندوق,نام صندوق,آدرس سایت
قابل معامله,1405/05/05,----,----,----,----,0,17739,17739,17825,ندارد,96210131568371,ریتون,در اوراق بهادار مبتنی بر سپرده کالایی,چند کالایی پاسارگاد,goldpod.ir
قابل معامله,1405/05/05,----,----,----,----,156.3,68584,68584,68910,ندارد,172318291422593,جواهر,در اوراق بهادار مبتنی بر سپرده کالایی,چند کالایی دنای زاگرس,javaherfund.ir
قابل معامله,1405/05/05,----,----,----,----,0,18667,18667,18758,ندارد,45478863090205,زرگر,در اوراق بهادار مبتنی بر سپرده کالایی,چند کالایی کارآمد,kalakaramad.ir
قابل معامله,1405/05/05,----,----,----,----,156.43,62577,62577,62870,ندارد,121852666408988,ناب,در اوراق بهادار مبتنی بر سپرده کالایی,چند کالایی نهایت پایدار,nahayatgold.com
قابل معامله,1405/05/05,----,----,----,----,77.08,66212,66212,66523,ندارد,22791234581233,نهال,در اوراق بهادار مبتنی بر سپرده کالایی,چند کالایی نو ویرا,novirakala.fund
قابل معامله,1405/05/05,----,----,----,----,37.03,40575,39836,39876,ندارد,20259706010549,خاتم,در اوراق بهادار با درآمد ثابت,خاتم ایساتیس پویا,etf.isatispm.com
قابل معامله,1405/04/27,----,----,----,----,13.832,991015,991015,991015,ندارد,3468552678691,اکسیر,خصوصی,خصوصی اکسیر زیست پارسیان,eksirpefund.ir
قابل معامله,1405/04/20,----,----,----,----,7.347,611853,611853,612001,ندارد,3120452716372,دیوان,خصوصی,خصوصی دیوان ارزش,divan-pe.ir
قابل معامله,----,----,----,----,----,----,----,----,----,----,----,راهکار,خصوصی,خصوصی راهکارهای توسعه نوآفرین,rtnfund.ir
قابل معامله,1405/05/05,----,----,----,----,75.75,26336,26336,26419,ندارد,11053659394922,خوشه,صندوق در صندوق,خوشه گندم نو ویرا,khooshe.fund
قابل معامله,1405/05/05,4,----,----,----,38.39,24302,24170,24189,ندارد,50977035511735,دارا,در اوراق بهادار با درآمد ثابت,دارا الگوریتم,darafund.ir
قابل معامله,1405/05/05,----,----,----,----,39.79,33538,33665,33693,ندارد,33665725421717,یارا,در اوراق بهادار با درآمد ثابت,در اوراق بهادار با درآمد ثابت آریا,fund1.ariaamc.ir
قابل معامله,1405/05/05,4.5,----,----,----,37.08,18527,18527,18537,ندارد,126493649358961,ارکیده,در اوراق بهادار با درآمد ثابت,در اوراق بهادار با درآمد ثابت ارکیده,orkideh.fund
قابل معامله,1405/05/05,----,----,----,----,36.49,18190,18526,18540,ندارد,7993514062125,ثابت اکسیژن,در اوراق بهادار با درآمد ثابت,در اوراق بهادار با درآمد ثابت اکسیژن,nitrogen.o2am.ir
قابل معامله,1405/05/05,4.5,----,----,----,40.56,16620,16715,16729,ندارد,451331100407567,پاسارگاد,در اوراق بهادار با درآمد ثابت,در اوراق بهادار با درآمد ثابت پاسارگاد,pasargadetffund.ir
قابل معامله,1405/05/05,----,----,----,----,37.45,58182,58182,58260,ندارد,10548440968793,تصمیم,در اوراق بهادار با درآمد ثابت,در اوراق بهادار با درآمد ثابت تصمیم,tasmim-sabet.ir
قابل معامله,1405/05/05,4.5,----,----,----,38.31,23169,23114,23143,ندارد,152557490082215,توسکا,در اوراق بهادار با درآمد ثابت,در اوراق بهادار با درآمد ثابت توسعه فولاد,tuskafund.ir
قابل معامله,1405/05/05,----,----,----,----,11.52,12378,12378,12384,ندارد,123184832663,ماکان,در اوراق بهادار با درآمد ثابت,در اوراق بهادار با درآمد ثابت ثروت ماکان,makanfund.ir
قابل معامله,1405/05/05,3.5,----,----,----,27.68,11162,10044,10063,1 ماهه,26683415787608,نخل,در اوراق بهادار با درآمد ثابت,در اوراق بهادار با درآمد ثابت خلیج فارس,nakhl.pgibc.ir
قابل معامله,1405/05/05,----,----,----,----,37.53,20004,20025,20039,ندارد,40049710098834,پایش,در اوراق بهادار با درآمد ثابت,در اوراق بهادار با درآمد ثابت دینا,dinafunds1.com
قابل معامله,1405/05/05,----,----,----,----,0,12069,12069,12075,ندارد,7612416474954,رایبد,در اوراق بهادار با درآمد ثابت,در اوراق بهادار با درآمد ثابت رایبد,raybodfixedincome.ir
قابل معامله,1405/05/05,4.5,----,----,----,36.69,18177,18120,18136,ندارد,103542315442410,شمیم,در اوراق بهادار با درآمد ثابت,در اوراق بهادار با درآمد ثابت شمیم تابان مهرگان,shamimfund.ir
قابل معامله,1405/05/05,4.5,----,----,----,37.2,17512,17512,17526,ندارد,162500283744977,کارآمد,در اوراق بهادار با درآمد ثابت,در اوراق بهادار با درآمد ثابت کارآمد,karamadfund.ir
قابل معامله,1405/05/05,3.5,----,----,----,30.28,10445,10182,10189,1 ماهه,81974175202478,کمند,در اوراق بهادار با درآمد ثابت,در اوراق بهادار با درآمد ثابت کمند,kamandfixedincome.com
قابل معامله,1405/05/05,4.5,----,----,----,37.65,107105,106289,106376,ندارد,425143729792940,کیان,در اوراق بهادار با درآمد ثابت,در اوراق بهادار با درآمد ثابت کیان,kianfunds1.ir
قابل معامله,1405/05/05,3.5,تامین سرمایه امید,----,----,30.194,13430,13484,13493,----,70250910898295,آسان,در اوراق بهادار با درآمد ثابت,در اوراق بهادار با درآمد ثابت گنجینه مهر,ganjinehmehrfund.ir
قابل معامله,1405/05/05,----,----,----,----,157.98,107693,107693,108197,ندارد,70272547182254,نفیس,در اوراق بهادار مبتنی بر سپرده کالایی,در اوراق بهادار مبتنی بر طلای صبا,nafis.sabaamc.ir
قابل معامله,1405/05/05,----,----,----,----,152.639,58400,58400,58675,----,127613718876574,آلتون,در اوراق بهادار مبتنی بر سپرده کالایی,در اوراق بهادار مبتنی بر کالای آسمان,altonfund.ir
قابل معامله,1405/05/05,----,----,----,----,152.93,136335,136335,136990,ندارد,70308311984267,زرفام,در اوراق بهادار مبتنی بر سپرده کالایی,در اوراق بهادار مبتنی بر کالای آشنا,goldfund.ir
